Geneid	Length	1kcell	dome1	dome2
ENSDARG00000104632	966	0	0	0
ENSDARG00000100660	4416	176	173	195
ENSDARG00000098417	662	0	0	4
ENSDARG00000100422	5078	0	0	0
ENSDARG00000102128	5040	24	20	32
ENSDARG00000103095	3177	8	12	46
ENSDARG00000102226	2336	11	4	11
ENSDARG00000104049	2583	16	6	36
ENSDARG00000102474	5146	18	6	36
ENSDARG00000100143	6738	14	10	47
ENSDARG00000104839	3166	0	0	0
ENSDARG00000104373	1580	6	6	12
ENSDARG00000098311	3289	1	4	35
ENSDARG00000102121	2989	0	0	0
ENSDARG00000102123	4421	2	0	6
ENSDARG00000102141	512	6	6	11
ENSDARG00000105725	266	0	0	0
ENSDARG00000099787	318	2	2	2
ENSDARG00000070546	1971	0	2	0
ENSDARG00000045914	2102	533	667	1295
ENSDARG00000045913	1199	12	11	37
ENSDARG00000045911	6019	72	65	111
ENSDARG00000045910	3433	30	38	60
ENSDARG00000045909	1067	0	0	0
ENSDARG00000025073	1281	128	236	630
ENSDARG00000084828	137	0	0	1
ENSDARG00000084784	137	0	2	1
ENSDARG00000095951	871	0	0	3
ENSDARG00000093924	530	0	1	0
ENSDARG00000108269	116	0	0	0
ENSDARG00000084451	118	0	0	0
ENSDARG00000106668	354	0	0	0
ENSDARG00000031737	1346	0	0	0
ENSDARG00000099652	3653	148	165	341
ENSDARG00000101047	1890	6	5	10
ENSDARG00000102104	636	0	0	0
ENSDARG00000099833	1721	6	19	44
ENSDARG00000103870	1178	0	6	9
ENSDARG00000107297	669	0	0	0
ENSDARG00000096118	331	14	12	22
ENSDARG00000045900	3128	36	44	123
ENSDARG00000016968	3217	224	176	296
ENSDARG00000102878	2619	12	20	8
ENSDARG00000059311	3615	0	0	4
ENSDARG00000017386	2906	130	17	65
ENSDARG00000045898	851	0	296	737
ENSDARG00000006060	9918	13	26	46
ENSDARG00000103050	600	0	0	0
ENSDARG00000104018	1722	66	54	106
ENSDARG00000070535	558	0	0	0
ENSDARG00000013789	4528	4	0	2
ENSDARG00000063686	1474	14	10	32
ENSDARG00000087962	2949	28	28	53
ENSDARG00000099313	1764	15	8	26
ENSDARG00000103102	1090	0	0	0
ENSDARG00000107902	323	0	0	0
ENSDARG00000102157	842	0	0	0
ENSDARG00000098612	1754	0	0	0
ENSDARG00000100898	118	0	0	0
ENSDARG00000102340	2545	0	0	0
ENSDARG00000099129	1037	10	10	19
ENSDARG00000101813	3725	814	845	1302
ENSDARG00000107640	4900	2	2	6
ENSDARG00000106927	752	21	6	4
ENSDARG00000107853	288	0	0	0
ENSDARG00000098551	2476	0	0	0
ENSDARG00000025601	1727	0	0	0
ENSDARG00000063672	3793	26	44	58
ENSDARG00000018149	5285	8	32	51
ENSDARG00000095920	620	8	2	1
ENSDARG00000045886	5401	31	44	82
ENSDARG00000045885	6515	360	560	941
ENSDARG00000007413	6489	756	582	1203
ENSDARG00000097341	325	0	0	3
ENSDARG00000045880	2432	60	14	32
ENSDARG00000009657	2014	132	107	150
ENSDARG00000093658	3807	234	47	102
ENSDARG00000026839	823	33	31	55
ENSDARG00000016979	1869	14	46	65
ENSDARG00000070477	6641	230	68	150
ENSDARG00000045878	3560	48	14	26
